"Requirement ID","Requirement","Source","Priority","Related Task IDs","Related Test IDs","Automated／Manual","Evidence Required","Current Result","Reviewer Result","Final Status"
"REQ-V5-009","战斗结果只通过权威入口写回","战役边界设计","P0","V5-P4-T001,V5-P4-T002","T-V5_P4_T004","Review+Automated","no direct UI/world mutation","PASS_INDEPENDENT_REVIEW","ACCEPTED / RVW-V5-G2-003","VERIFIED"
"REQ-V5-010","保存结构版本化且旧快照可迁移","长期架构原则","P0","V5-P5-T001,V5-P5-T002,V5-P5-T003","T-V5_P5_T005","Automated+Review","schema/migration matrix","PASS_INDEPENDENT_REVIEW","ACCEPTED / RVW-V5-G2-003","VERIFIED"
"REQ-V5-011","保存退出重载后驻军、训练、ArmyState 集合、稳定 route/node ID、progress 与 ledger 一致","V5 垂直闭环","P0","V5-P5-T004,V5-P7-T004","T-V5_P5_T005,T-V5_P7_T004","Both","cross-process evidence","PASS_G2_INDEPENDENT_REVIEW","G2_PERSISTENCE_ACCEPTED / RVW-V5-G2-003；V5-P7-T004 实际窗口重载尚未启动","IMPLEMENTED_PENDING_REVIEW"
"REQ-V5-012","关键失败不部分扣费、不丢兵、不污染旧状态","工程门禁","P0","V5-P2-T003,V5-P3-T003,V5-P4-T004,V5-P5-T005","T-V5_P5_T005","Automated","fault injection","PASS_INDEPENDENT_REVIEW","ACCEPTED / RVW-V5-G2-003","VERIFIED"
"REQ-V5-013","军事 UI 只显示真实可用操作和原因","产品边界","P1","V5-P6-T001,V5-P6-T002,V5-P6-T003","T-V5_P7_T004","Manual","screenshots + user explanation","NOT_RUN","","NOT_STARTED"
"REQ-V5-014","V5 关键门由独立 Agent 复查，不由实现者自证","流程门禁","P0","V5-P7-T005,V5-P7-T006","T-REVIEW-001","Review","review report + re-review","NOT_RUN","","NOT_STARTED"
"REQ-V6-001","持久外城不使用像素/Node 作为权威位置","V6 范围","P0","V6-P0-T001,V6-P0-T002,V6-P2-T002","T-V6_P5_T001","Review+Automated","state→projection reconstruction","NOT_RUN","","NOT_STARTED"
"REQ-V6-002","在 V5 ArmyState 集合容器上启用多个 active army，UI 可暂时单命令","V6 范围","P0","V6-P1-T001,V6-P4-T001","T-V6_P5_T001","Review+Automated","two-army fixture","NOT_RUN","","NOT_STARTED"
"REQ-V6-003","行军进度可保存并在场景重进恢复","V6 范围","P0","V6-P2-T001,V6-P2-T002","T-V6_P5_T001,T-V6_P5_T002","Both","cross-scene + save evidence","NOT_RUN","","NOT_STARTED"
"REQ-V6-004","相遇和围城只生成触发事实，不提前实现 V7/V8","滚动规划","P0","V6-P3-T001,V6-P3-T002","T-V6_P5_T001","Review","trigger contract and no scope creep","NOT_RUN","","NOT_STARTED"
"REQ-ARCH-001","战事内城不能复制常态内城真相","四层架构","P0","V8-P0-T001,V8-P2-T003","T-ARCH-OWNERSHIP-001","Review","独立审查单一城市真相、BattleSession 临时性与失败后布局保全；不得以文档存在代替执行","NOT_RUN","","NOT_STARTED"
"REQ-ARCH-002","UI 交互状态不是世界状态","四层架构","P0","V5-P0-T002,V6-P4-T001","T-REVIEW-001","Review","ownership sheet","NOT_RUN","","NOT_STARTED"
"REQ-PLAN-001","只有 VERIFIED 计入阶段完成，CANCELLED 仅凭已接受 Decision 才不计入分母","规划系统","P0","PLAN-REPAIR-002","T-PLAN-001","Automated","formula inspection","PASS_MAIN_AGENT","PASS_INDEPENDENT_REVIEW","VERIFIED"
"REQ-PLAN-002","Gate 只引用真实 Task/Test ID，且冻结顺序无循环","规划系统","P0","PLAN-REPAIR-002","T-PLAN-GATE-001","Automated+Review","gate reference audit","PASS_MAIN_AGENT","PASS_INDEPENDENT_REVIEW","VERIFIED"
"REQ-PLAN-003","全部工作表使用区域明确采用实际可用中文字体","规划系统","P1","PLAN-REPAIR-002","T-PLAN-FONT-001","Automated+Visual","computed styles + Mac render","PASS_MAIN_AGENT","PASS_INDEPENDENT_REVIEW","VERIFIED"
