"Task ID","Parent ID","Phase","Work Package","Task Name","Task Type","Goal","Background","In Scope","Out of Scope","Relevant Files／Modules","Inputs","Expected Output","Dependencies","Entry Criteria","Acceptance Criteria","Validation Method","Test IDs","Test Mapping Status","Rollback Method","Stop Conditions","Implementer","Reviewer","Priority","Risk","Status","Planned Effort","Actual Effort","Start Time","Completion Time","Evidence Link","Review Record ID","Decision Record ID","Progress Denominator Flag","Notes","Gate IDs"
"V5-P1-T001","V5-P1","V5","P1 单兵种与驻军","建立静态步兵定义适配","Implementation","复用 UnitRole 或窄适配，不复制战斗数值。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","单兵种稳定 definition ID 与查询 API","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","单兵种稳定 definition ID 与查询 API","V5-P0-T003","G2 前置条件满足","单兵种稳定 definition ID 与查询 API；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P1_T001","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P1-T002","V5-P1","V5","P1 单兵种与驻军","建立本城驻军源状态","Implementation","从 infantry_count 迁移到可扩展但最小的驻军结构。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","驻军源字段与兼容读取","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","驻军源字段与兼容读取","V5-P0-T004,V5-P1-T001","G2 前置条件满足","驻军源字段与兼容读取；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P1_T002","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P1-T003","V5-P1","V5","P1 单兵种与驻军","定义兵源／人口边界","Architecture","明确训练消耗的兵源来源；未有真实人口时标记 V5 临时合同。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","可验证兵源规则，不伪造完整人口系统","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","可验证兵源规则，不伪造完整人口系统","V5-P0-T002","G1 前置条件满足","可验证兵源规则，不伪造完整人口系统；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P1_T003","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex / User gate","P1","HIGH","NOT_STARTED","","","","","","","","1","","V5-G1,V5-G2"
"V5-P1-T004","V5-P1","V5","P1 单兵种与驻军","实现驻军容量与可派上限查询","Implementation","把招募上限、供养与已预留兵力纳入同一查询。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","无负数、无复制的可派兵力 API","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","无负数、无复制的可派兵力 API","V5-P1-T002,V5-P1-T003","G2 前置条件满足","无负数、无复制的可派兵力 API；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P1_T004","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P1-T005","V5-P1","V5","P1 单兵种与驻军","实现驻军状态合同测试","Test","覆盖增加、预留、释放、扣损、返回、容量。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","确定性合同 runner","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","确定性合同 runner","V5-P1-T002,V5-P1-T004","G2 前置条件满足","确定性合同 runner；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P1_T005","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P1-T006","V5-P1","V5","P1 单兵种与驻军","兼容现有战斗兵力读取","Adapter","C0/P1-E 继续从唯一城市权威读取，不复制兵力。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","兼容适配层与回归","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","兼容适配层与回归","V5-P1-T002","G2 前置条件满足","兼容适配层与回归；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P1_T006","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P1","HIGH","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P2-T001","V5-P2","V5","P2 训练与时间","定义训练队列源状态","Architecture","把当前三个训练字段升级为可验证最小队列，不提前通用任务系统。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","TrainingQueue 合同、状态转换、稳定 ID","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","TrainingQueue 合同、状态转换、稳定 ID","V5-P0-T002,V5-P1-T003","G1 前置条件满足","TrainingQueue 合同、状态转换、稳定 ID；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P2_T001","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex / User gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G1"
"V5-P2-T002","V5-P2","V5","P2 训练与时间","接入军营训练能力","Implementation","只有满足现有军营/资源/容量规则才允许下单。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","公开下单入口和失败原因","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","公开下单入口和失败原因","V5-P2-T001","G2 前置条件满足","公开下单入口和失败原因；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P2_T002","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P2-T003","V5-P2","V5","P2 训练与时间","实现训练资源原子扣除","Implementation","下单成功只扣一次；取消/失败不扣；不形成第二账本。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","原子命令和失败回滚","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","原子命令和失败回滚","V5-P2-T002","G2 前置条件满足","原子命令和失败回滚；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P2_T003","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P2-T004","V5-P2","V5","P2 训练与时间","定义时间、暂停、场景切换边界","Architecture","训练只由城市战略时间推进；战斗/战争阻断/普通 UI 语义明确。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","时间推进矩阵","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","时间推进矩阵","V5-P2-T001","G1 前置条件满足","时间推进矩阵；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P2_T004","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex / User gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G1,V5-G2"
"V5-P2-T005","V5-P2","V5","P2 训练与时间","实现训练完成进入本城驻军","Implementation","日结算时完成一次并写入驻军；重复结算无第二次兵力。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","完工转移与日志","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","完工转移与日志","V5-P2-T003,V5-P2-T004,V5-P1-T002","G2 前置条件满足","完工转移与日志；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P2_T005","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P2-T006","V5-P2","V5","P2 训练与时间","实现容量／供养阻断原因","Implementation","达到上限时暂停或拒绝，并向 UI 返回具体原因。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","结构化 blocked reason","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","结构化 blocked reason","V5-P1-T004,V5-P2-T005","G2 前置条件满足","结构化 blocked reason；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P2_T006","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P1","HIGH","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P2-T007","V5-P2","V5","P2 训练与时间","实现训练与日结算测试","Test","覆盖 1×/2×/4×、暂停、战争阻断、场景切换和重复日界线。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","训练 runner 与既有日结算回归","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","训练 runner 与既有日结算回归","V5-P2-T005,V5-P2-T006","G2 前置条件满足","训练 runner 与既有日结算回归；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P2_T007","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P3-T001","V5-P3","V5","P3 派遣与军队","定义可持久 ArmyState 集合 V5 最小合同","Architecture","从 V5 起使用持久集合容器；每项包含 stable ID、兵种数量、稳定来源/目标/route ID、进度、阶段和事务 ID；V5 运行规则最多一支 active。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","不依赖 UI 的 ArmyState 集合合同","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","不依赖 UI 的 ArmyState 集合合同","V5-P0-T004,V5-P1-T001","G1 前置条件满足","不依赖 UI 的 ArmyState 集合合同；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P3_T001","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex / User gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G1"
"V5-P3-T002","V5-P3","V5","P3 派遣与军队","建立 V4 调遣窄适配层","Adapter","V4 UI 读取真实驻军并提交权威派遣命令；不让 V4 脚本成为世界状态。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","查询/命令接口","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","查询/命令接口","V5-P3-T001,V5-P1-T004","G2 前置条件满足","查询/命令接口；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P3_T002","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P3-T003","V5-P3","V5","P3 派遣与军队","实现派遣预留与一次性扣兵","Implementation","确认命令后驻军→预留/在途转换一次；取消安全释放。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","transaction ID 和阶段转换","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","transaction ID 和阶段转换","V5-P3-T002","G2 前置条件满足","transaction ID 和阶段转换；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P3_T003","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P3-T004","V5-P3","V5","P3 派遣与军队","实现单 active 规则与集合投影边界","Implementation","V5 最多一支 active army，但权威存储已是集合；表现由 stable route/node ID 与 progress 重建，不以 Node 为权威。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","ArmyState collection→V4 表现投影","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","ArmyState collection→V4 表现投影","V5-P3-T003","G2 前置条件满足","ArmyState collection→V4 表现投影；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P3_T004","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G2"
"V5-P3-T005","V5-P3","V5","P3 派遣与军队","实现抵达幂等与命令防重入","Implementation","重复 frame、信号、返回和重进不重复抵达。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","arrival ledger / transaction guard","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","arrival ledger / transaction guard","V5-P3-T004","G2 前置条件满足","arrival ledger / transaction guard；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P3_T005","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G2"
